,X,Y
10,"[0.4249690771102905, -0.5941792726516724, -0.07981866598129272, -0.29773658514022827, -0.6140812635421753, -0.3727726340293884, 0.07970762252807617, 0.008487820625305176, -1.0, 0.2072349637746811, -0.04566151276230812, -0.21730022132396698, 0.2175019085407257, 0.030977671965956688, 0.24923856556415558, -0.26112136244773865, 0.02043132483959198, -0.00023449212312698364, -0.3911609351634979, -0.1080695316195488, -0.15137416124343872, 2.3577850782885434e-10, -1.2820833283910815e-08]","[1.0, 0.3772967755794525, -0.8732997179031372, 0.010962853208184242, 0.2361360341310501, 0.8503270149230957, -1.0, 0.9194806814193726, -1.0]"
11,"[0.43103528022766113, -0.5961006283760071, -0.08608144521713257, -0.28589463233947754, -0.6127315163612366, -0.3616892099380493, 0.07220113277435303, 0.10498619079589844, -1.0, 0.20418457686901093, -0.02740478329360485, -0.2172568291425705, 0.21750254929065704, 0.04355898126959801, 0.23412452638149261, -0.2611013352870941, 0.020450130105018616, -0.00025023805210366845, -0.38217243552207947, -0.11301266402006149, -0.15295976400375366, 2.447480551559522e-10, -1.2820911443611749e-08]","[1.0, 0.35320502519607544, -0.8487595915794373, 0.0078678447753191, 0.2572186291217804, 0.8764002919197083, -1.0, 0.928333580493927, -1.0]"
12,"[0.4370764493942261, -0.5971983671188354, -0.09234732389450073, -0.274103045463562, -0.6109838485717773, -0.35083770751953125, 0.06470954418182373, 0.20023465156555176, -1.0, 0.20275814831256866, -0.008430649526417255, -0.2172337770462036, 0.2175029069185257, 0.05722477659583092, 0.22553160786628723, -0.2569940388202667, 0.02047761343419552, -0.000271086668362841, -0.3727613389492035, -0.1170836016535759, -0.15417265892028809, 2.5371788003880624e-10, -1.2820794204060348e-08]","[1.0, 0.3002379536628723, -0.8253406286239624, 0.023708807304501534, 0.28423306345939636, 0.8842130303382874, -1.0, 0.9457180500030518, -1.0]"
13,"[0.4431079626083374, -0.5974831581115723, -0.0986136794090271, -0.26244986057281494, -0.6088171005249023, -0.3403012752532959, 0.05723011493682861, 0.29425370693206787, -1.0, 0.20206812024116516, 0.00934597197920084, -0.21724143624305725, 0.21520733833312988, 0.07239498943090439, 0.2163156270980835, -0.2553366720676422, 0.02050180174410343, -0.0002638009318616241, -0.3629656136035919, -0.12021268159151077, -0.15498626232147217, 2.626876216549334e-10, -1.2820806638558224e-08]","[1.0, 0.23456212878227234, -0.7959778904914856, 0.062202781438827515, 0.2960524559020996, 0.8967339396476746, -0.9441844820976257, 0.9769051671028137, -1.0]"
14,"[0.44907355308532715, -0.5970224738121033, -0.10488277673721313, -0.25102555751800537, -0.6062113046646118, -0.32965636253356934, 0.04976630210876465, 0.3871326446533203, -1.0, 0.19895349442958832, 0.024736683815717697, -0.21722988784313202, 0.21034756302833557, 0.08721591532230377, 0.22043970227241516, -0.25378286838531494, 0.020540574565529823, -0.0002909328031819314, -0.35280123353004456, -0.12231815606355667, -0.15546727180480957, 2.7165741878221183e-10, -1.2820797756774027e-08]","[1.0, 0.15903621912002563, -0.7566789984703064, 0.12241968512535095, 0.3072740435600281, 0.8935995697975159, -0.9048227667808533, 1.0, -1.0]"
15,"[0.4550822973251343, -0.5959025621414185, -0.11115056276321411, -0.23979097604751587, -0.6031773090362549, -0.3194516897201538, 0.04229593276977539, 0.47891151905059814, -1.0, 0.20113742351531982, 0.037985097616910934, -0.21724198758602142, 0.2073454111814499, 0.1022924929857254, 0.21025483310222626, -0.25479912757873535, 0.020579954609274864, -0.00029453542083501816, -0.34237924218177795, -0.12351485341787338, -0.15554261207580566, 2.80627160398339e-10, -1.28208190730561e-08]","[1.0, 0.0907333716750145, -0.718671441078186, 0.15575462579727173, 0.28293853998184204, 0.9248749017715454, -0.852949321269989, 1.0, -1.0]"
16,"[0.4611246585845947, -0.5942546725273132, -0.11742192506790161, -0.22870033979415894, -0.5997503995895386, -0.30921274423599243, 0.03482627868652344, 0.5696554183959961, -1.0, 0.20346470177173615, 0.04808817803859711, -0.2172694206237793, 0.20545680820941925, 0.11535864323377609, 0.2126556634902954, -0.2554926574230194, 0.02062840387225151, -0.00031753513030707836, -0.33173277974128723, -0.12382622808218002, -0.15534591674804688, 2.895965967031344e-10, -1.2820843942051852e-08]","[1.0, 0.021482862532138824, -0.6809779405593872, 0.17689728736877441, 0.2625761330127716, 0.9448773860931396, -0.8081960678100586, 1.0, -1.0]"
17,"[0.4672119617462158, -0.5922189950942993, -0.12369418144226074, -0.2177005410194397, -0.5959913730621338, -0.2988778352737427, 0.02734076976776123, 0.6593630313873291, -1.0, 0.20646338164806366, 0.05485246330499649, -0.21730664372444153, 0.2045050412416458, 0.12668032944202423, 0.2169162482023239, -0.2576249837875366, 0.020667480304837227, -0.00033537353738211095, -0.3209477961063385, -0.12337946146726608, -0.15494215488433838, 2.985663383192616e-10, -1.2820829731197136e-08]","[1.0, -0.0411648154258728, -0.6440803408622742, 0.17776504158973694, 0.23347176611423492, 0.9724539518356323, -0.7599613070487976, 1.0, -1.0]"
18,"[0.4733443260192871, -0.5899564027786255, -0.1299666166305542, -0.20677626132965088, -0.5919667482376099, -0.2884168028831482, 0.01984083652496338, 0.7480509281158447, -1.0, 0.20956586301326752, 0.057974111288785934, -0.2173490822315216, 0.20365209877490997, 0.13577130436897278, 0.22203540802001953, -0.25962328910827637, 0.020701346918940544, -0.00035216391552239656, -0.3101060688495636, -0.12233083695173264, -0.15437138080596924, 3.0753621871326686e-10, -1.282084749476553e-08]","[1.0, -0.09286971390247345, -0.6019133925437927, 0.16081511974334717, 0.20307116210460663, 1.0, -0.7101225852966309, 1.0, -1.0]"
19,"[0.47952067852020264, -0.5876367092132568, -0.13623863458633423, -0.1959487795829773, -0.5877435207366943, -0.27782440185546875, 0.01233530044555664, 0.8357061147689819, -1.0, 0.21263408660888672, 0.057447273284196854, -0.21739111840724945, 0.20219175517559052, 0.14262133836746216, 0.2271515130996704, -0.2607191503047943, 0.02072267048060894, -0.000365410785889253, -0.2992774546146393, -0.12083736807107925, -0.15365207195281982, 3.165056827736379e-10, -1.2820829731197136e-08]","[1.0, -0.13090616464614868, -0.5498954653739929, 0.1316399872303009, 0.1721579134464264, 1.0, -0.6606855988502502, 1.0, -1.0]"
